Customer ID,Subscription Length (Months),Customer Satisfaction Score (1-10),Daily Watch Time (Hours),Engagement Rate (1-10),Device Used Most Often,Genre Preference,Region,Payment History (On-Time/Delayed),Subscription Plan,Churn Status (Yes/No),Support Queries Logged,Age,Monthly Income ($),Promotional Offers Used,Number of Profiles Created,,
C00062,3,5,2.26,6,Desktop,Thriller,Asia,On-Time,Premium,Yes,0,56,6313,4,3,,
C00063,6,8,4.83,8,Smart TV,Comedy,Asia,On-Time,Standard,Yes,4,44,1037,0,1,,
C00064,6,5,3.14,1,Smart TV,Sci-Fi,South America,Delayed,Premium,No,5,49,8562,5,5,,
C00065,6,2,1.93,10,Mobile,Drama,Europe,On-Time,Standard,Yes,5,27,7201,4,4,,
C00066,1,5,2.28,8,Desktop,Sci-Fi,Africa,Delayed,Premium,No,3,70,7085,3,5,,
C00067,24,5,3.18,8,Mobile,Action,Asia,On-Time,Basic,No,0,61,4698,2,5,,
C00068,12,1,4.32,6,Mobile,Drama,North America,Delayed,Premium,Yes,3,37,3188,2,2,,
C00069,1,1,1.68,3,Laptop,Documentary,Asia,Delayed,Standard,No,1,67,8818,1,5,,
C00070,6,10,1.72,10,Desktop,Comedy,South America,On-Time,Standard,No,9,23,1533,2,5,,
C00071,12,1,2.74,9,Tablet,Drama,Africa,On-Time,Basic,No,3,49,649,3,2,,
C00072,24,2,3.12,3,Mobile,Thriller,Africa,On-Time,Standard,No,3,31,9897,5,4,,
C00073,12,10,2.68,7,Smart TV,Thriller,North America,Delayed,Premium,Yes,2,26,7357,1,3,,
C00074,12,6,4.59,7,Mobile,Action,South America,Delayed,Standard,Yes,10,48,6488,2,2,,
C00075,6,2,1.97,7,Mobile,Thriller,South America,Delayed,Basic,No,8,57,2702,0,1,,
C00076,1,6,4.03,10,Tablet,Drama,North America,On-Time,Standard,No,1,41,3085,3,4,,
C00077,12,4,4.84,8,Desktop,Action,South America,Delayed,Premium,No,6,36,8691,2,3,,
C00078,12,6,3.01,5,Laptop,Thriller,North America,Delayed,Basic,Yes,9,38,8645,3,3,,
C00079,6,6,0.87,3,Smart TV,Drama,Europe,Delayed,Premium,Yes,1,44,2082,1,3,,
C00080,12,2,4.42,8,Laptop,Action,North America,Delayed,Basic,Yes,6,54,3866,4,1,,
C00081,1,3,1.06,7,Smart TV,Action,North America,On-Time,Standard,Yes,9,44,1717,4,4,,
C00082,24,9,2.82,6,Desktop,Thriller,South America,On-Time,Premium,Yes,7,35,3577,0,4,,
C00083,24,5,0.83,8,Laptop,Action,Europe,On-Time,Standard,No,6,70,2676,2,3,,
C00084,6,8,1.68,8,Tablet,Romance,Africa,Delayed,Basic,Yes,5,19,3394,0,3,,
C00085,6,5,4.98,5,Mobile,Romance,South America,On-Time,Basic,No,1,43,8991,3,1,,
C00086,1,7,1.87,8,Mobile,Thriller,Africa,On-Time,Basic,Yes,5,60,6731,5,1,,
C00087,6,2,1.21,3,Smart TV,Action,Asia,Delayed,Basic,Yes,1,20,5244,4,1,,
C00088,3,3,1,9,Tablet,Documentary,Africa,Delayed,Basic,Yes,0,21,7865,0,4,,
C00089,1,5,0.96,7,Mobile,Sci-Fi,South America,Delayed,Standard,No,8,31,6014,5,2,,
C00090,24,6,2.9,4,Laptop,Action,South America,Delayed,Standard,No,6,40,6615,5,1,,
C00091,6,9,1.84,1,Desktop,Thriller,Africa,On-Time,Standard,Yes,7,47,3897,5,5,,
C00092,12,2,4.57,9,Laptop,Thriller,South America,Delayed,Basic,No,5,36,8823,4,2,,
C00093,6,9,1.52,8,Smart TV,Documentary,North America,Delayed,Premium,No,6,18,6381,5,5,,
C00094,24,5,3.25,7,Tablet,Drama,Africa,On-Time,Standard,No,1,55,1487,2,5,,
C00095,6,7,3.75,4,Laptop,Drama,Asia,On-Time,Premium,Yes,4,20,7816,1,2,,
C00096,6,2,1.15,2,Mobile,Drama,North America,Delayed,Basic,Yes,2,49,8135,4,1,,
C00097,24,2,3.67,7,Desktop,Documentary,Asia,On-Time,Basic,No,7,33,4332,4,2,,
C00098,1,1,3.04,3,Desktop,Action,Asia,On-Time,Standard,Yes,7,32,9414,3,1,,
C00099,12,1,3.72,8,Laptop,Romance,South America,On-Time,Premium,Yes,1,48,8800,3,4,,
C00100,6,8,3.12,1,Tablet,Thriller,Africa,On-Time,Standard,Yes,9,54,899,0,1,,
C00101,1,3,2.02,7,Laptop,Action,Europe,On-Time,Basic,No,4,38,8587,3,2,,
C00102,24,8,1.66,1,Smart TV,Documentary,Europe,On-Time,Standard,Yes,2,49,4434,0,1,,
C00103,3,8,3.56,10,Tablet,Thriller,Europe,Delayed,Premium,No,2,37,9734,0,1,,
C00104,12,10,2.16,4,Mobile,Sci-Fi,South America,Delayed,Standard,Yes,8,68,8804,0,4,,
C00105,1,7,4.3,7,Laptop,Thriller,Asia,On-Time,Standard,Yes,9,33,1549,0,2,,
C00106,3,6,1.48,2,Tablet,Documentary,Asia,Delayed,Premium,No,6,52,2472,4,4,,
C00107,3,5,3.13,5,Smart TV,Thriller,South America,Delayed,Standard,Yes,7,27,8359,3,3,,
C00108,6,2,4.37,9,Laptop,Romance,North America,On-Time,Standard,Yes,6,21,778,1,2,,
C00109,24,6,1.29,6,Laptop,Drama,South America,On-Time,Premium,Yes,3,47,1102,4,1,,
C00110,3,2,2.71,2,Desktop,Action,Africa,On-Time,Standard,No,5,52,3665,2,1,,
C00111,24,3,0.73,9,Smart TV,Drama,North America,On-Time,Premium,Yes,10,24,5934,4,5,,
C00112,3,8,3.77,8,Smart TV,Documentary,Asia,On-Time,Premium,Yes,5,42,5603,1,2,,
C00113,1,1,3.61,1,Tablet,Sci-Fi,South America,Delayed,Standard,No,10,30,9852,1,1,,
C00114,3,8,3.27,3,Mobile,Sci-Fi,Africa,Delayed,Premium,No,7,47,1396,4,5,,
C00115,12,1,4.06,4,Desktop,Documentary,South America,Delayed,Standard,No,6,28,2274,5,2,,
C00116,1,7,1.48,4,Desktop,Drama,Africa,On-Time,Standard,Yes,10,55,6990,2,5,,
C00117,1,9,2.82,9,Laptop,Drama,South America,On-Time,Standard,No,8,61,3728,3,3,,
C00118,1,3,3.92,9,Tablet,Romance,North America,On-Time,Standard,Yes,9,31,4954,3,5,,
C00119,12,4,2.66,7,Mobile,Thriller,North America,On-Time,Premium,Yes,2,29,4886,3,4,,
C00120,6,4,2.58,6,Laptop,Action,South America,On-Time,Basic,Yes,2,54,9951,3,4,,
C00121,6,3,3.86,8,Tablet,Sci-Fi,North America,Delayed,Standard,No,3,36,8857,4,2,,
C00122,12,8,3.33,6,Tablet,Romance,Europe,On-Time,Standard,No,4,66,8145,1,5,,
C00123,6,5,3.48,8,Tablet,Comedy,North America,Delayed,Standard,Yes,9,70,9654,1,2,,
C00124,24,5,1.55,6,Desktop,Sci-Fi,Africa,On-Time,Premium,Yes,2,31,2896,3,5,,
C00125,3,2,0.92,5,Desktop,Documentary,South America,Delayed,Basic,Yes,9,52,8463,1,3,,
C00126,1,5,3.04,2,Laptop,Thriller,Africa,Delayed,Basic,Yes,5,27,6089,3,2,,
C00127,24,5,3.8,9,Smart TV,Action,Africa,On-Time,Premium,Yes,7,26,4761,4,2,,
C00128,24,8,1.73,6,Laptop,Action,Africa,Delayed,Standard,No,7,58,3597,5,5,,
C00129,24,3,3.59,4,Laptop,Drama,Asia,Delayed,Basic,Yes,5,67,7761,5,4,,
C00130,6,4,2.71,7,Desktop,Sci-Fi,South America,On-Time,Premium,No,4,49,6118,2,2,,
C00131,1,1,2.46,5,Mobile,Thriller,Africa,Delayed,Premium,Yes,3,21,2380,4,2,,
C00132,3,4,3.73,9,Tablet,Romance,Asia,Delayed,Standard,No,0,59,3509,0,5,,
C00133,12,1,1.1,9,Smart TV,Drama,North America,On-Time,Standard,No,3,54,3271,2,4,,
C00134,1,6,3.66,3,Laptop,Action,Africa,On-Time,Premium,No,4,57,6940,2,4,,
C00135,12,10,4.41,7,Tablet,Documentary,Asia,Delayed,Premium,Yes,4,29,4775,4,5,,
C00136,3,8,1.65,4,Mobile,Sci-Fi,South America,On-Time,Basic,Yes,9,34,7400,3,1,,
C00137,12,10,0.7,8,Mobile,Sci-Fi,Africa,Delayed,Standard,No,6,40,2956,1,2,,
C00138,6,3,1.26,6,Tablet,Action,Asia,Delayed,Basic,Yes,9,67,9331,3,1,,
C00139,3,2,0.98,8,Laptop,Drama,South America,On-Time,Basic,Yes,2,59,5318,3,2,,
C00140,12,6,2.91,10,Smart TV,Thriller,Asia,Delayed,Premium,Yes,6,58,6894,0,5,,
C00141,6,2,3.65,1,Tablet,Sci-Fi,Africa,On-Time,Basic,Yes,2,20,1430,3,1,,
C00142,1,6,1.46,1,Tablet,Sci-Fi,Africa,On-Time,Premium,Yes,4,67,7170,2,1,,
C00143,12,9,1.85,4,Smart TV,Thriller,Asia,Delayed,Basic,Yes,3,38,3265,1,3,,
C00144,24,10,2.8,10,Tablet,Drama,Asia,Delayed,Basic,Yes,5,60,5854,1,1,,
C00145,12,7,3.27,2,Laptop,Thriller,South America,On-Time,Premium,Yes,3,53,3724,1,3,,
C00146,6,10,3.36,2,Mobile,Action,Europe,Delayed,Basic,Yes,10,34,5939,5,1,,
C00147,24,9,0.65,5,Mobile,Drama,North America,Delayed,Premium,No,7,65,5687,2,2,,
C00148,6,3,1.85,1,Laptop,Romance,North America,Delayed,Standard,No,6,21,8330,1,2,,
C00149,1,4,3.95,7,Smart TV,Documentary,North America,On-Time,Premium,No,9,57,5845,4,4,,
C00150,3,10,4.57,6,Mobile,Action,South America,On-Time,Standard,Yes,4,23,5480,0,2,,
C00151,12,2,1.22,6,Mobile,Documentary,Africa,Delayed,Standard,No,6,21,2719,0,5,,
C00152,24,3,4.93,6,Laptop,Sci-Fi,Europe,Delayed,Basic,Yes,1,49,2069,3,4,,
C00153,1,9,4.67,9,Smart TV,Thriller,Africa,On-Time,Premium,No,9,18,3192,1,4,,
C00154,1,10,1.56,8,Mobile,Documentary,Asia,On-Time,Standard,Yes,1,54,5121,5,3,,
C00155,3,8,4.64,2,Mobile,Sci-Fi,Asia,Delayed,Premium,No,4,29,3993,2,4,,
C00156,3,2,3.99,6,Laptop,Drama,South America,Delayed,Basic,Yes,3,26,2417,3,5,,
C00157,24,3,4.22,6,Laptop,Drama,South America,Delayed,Standard,Yes,1,56,9607,5,3,,
C00158,24,7,1.76,1,Smart TV,Documentary,North America,On-Time,Premium,Yes,5,36,1383,4,3,,
C00159,12,6,1.98,2,Desktop,Documentary,Africa,On-Time,Premium,Yes,5,42,7028,4,5,,
C00160,24,8,2.34,6,Smart TV,Comedy,North America,On-Time,Standard,Yes,6,22,5000,0,4,,
C00161,6,2,4.13,3,Tablet,Thriller,Asia,On-Time,Premium,No,9,69,1043,4,1,,
C00162,6,5,4.59,4,Desktop,Drama,Europe,On-Time,Premium,Yes,3,62,5021,1,5,,
C00163,6,8,2.3,1,Laptop,Sci-Fi,South America,Delayed,Premium,No,1,46,6755,1,1,,
C00164,1,5,2.53,8,Mobile,Documentary,North America,On-Time,Basic,No,0,25,8774,0,1,,
C00165,6,6,4.01,2,Desktop,Action,Africa,Delayed,Basic,Yes,9,21,3764,3,5,,
C00166,1,7,3.88,1,Tablet,Sci-Fi,South America,On-Time,Standard,No,0,50,1154,1,5,,
C00167,1,3,1.06,10,Desktop,Sci-Fi,South America,On-Time,Premium,No,9,29,1172,0,2,,
C00168,3,7,3.11,1,Mobile,Romance,South America,Delayed,Standard,No,0,34,5523,5,1,,
C00169,12,2,2.89,9,Tablet,Comedy,Europe,On-Time,Premium,Yes,8,22,911,1,4,,
C00170,24,7,4.04,2,Smart TV,Romance,Europe,Delayed,Basic,Yes,5,67,3677,5,4,,
C00171,1,5,0.99,5,Mobile,Sci-Fi,Africa,Delayed,Premium,No,4,67,5577,0,5,,
C00172,1,7,4.26,6,Laptop,Drama,Asia,Delayed,Premium,No,3,56,1358,4,1,,
C00173,12,8,3.13,5,Tablet,Action,Asia,On-Time,Basic,Yes,6,43,4870,4,1,,
C00174,3,9,4.06,5,Mobile,Documentary,North America,Delayed,Basic,Yes,6,50,8641,3,5,,
C00175,3,3,3.54,3,Tablet,Romance,Africa,On-Time,Basic,No,7,60,6922,5,3,,
C00176,1,8,2.65,6,Laptop,Sci-Fi,Europe,On-Time,Basic,No,2,21,4925,2,2,,
C00177,6,10,1.27,8,Smart TV,Action,South America,Delayed,Basic,No,5,45,7289,2,5,,
C00178,3,5,1.35,8,Tablet,Sci-Fi,South America,On-Time,Standard,Yes,5,18,6584,3,1,,
C00179,12,8,4.4,8,Mobile,Thriller,South America,On-Time,Premium,Yes,6,53,6478,1,3,,
C00180,3,2,2.13,5,Tablet,Comedy,Europe,Delayed,Basic,No,2,49,1091,0,4,,
C00181,24,3,3.77,3,Tablet,Thriller,South America,Delayed,Standard,Yes,3,55,3989,3,4,,
C00182,6,6,4.33,2,Desktop,Romance,Europe,On-Time,Standard,No,4,29,8577,1,2,,
C00183,12,7,3.82,2,Mobile,Sci-Fi,South America,Delayed,Premium,No,2,22,9202,3,2,,
C00184,6,8,2.25,10,Mobile,Action,South America,On-Time,Basic,Yes,10,58,8169,2,2,,
C00185,24,3,1.72,4,Laptop,Comedy,South America,On-Time,Standard,No,1,47,7084,0,2,,
C00186,6,2,4.59,8,Smart TV,Documentary,South America,Delayed,Basic,Yes,4,46,4460,0,1,,
C00187,24,5,2.66,1,Laptop,Comedy,Asia,Delayed,Premium,Yes,10,70,6745,0,3,,
C00188,24,10,0.76,3,Laptop,Thriller,Europe,Delayed,Basic,No,2,58,9454,5,3,,
C00189,24,10,2.18,1,Desktop,Action,Asia,Delayed,Premium,No,7,39,3847,5,2,,
C00190,12,5,2.32,6,Tablet,Action,South America,Delayed,Standard,No,0,55,8022,5,1,,
C00191,3,1,2.95,3,Laptop,Comedy,Africa,On-Time,Premium,Yes,8,64,4309,0,1,,
C00192,24,3,4.61,9,Laptop,Sci-Fi,South America,On-Time,Premium,Yes,7,60,5322,4,5,,
C00193,3,1,3,2,Tablet,Documentary,Asia,On-Time,Basic,Yes,9,50,9944,3,5,,
C00194,12,6,3.25,1,Desktop,Romance,Europe,On-Time,Premium,Yes,0,27,705,2,3,,
C00195,3,1,0.65,7,Mobile,Documentary,Africa,On-Time,Basic,Yes,3,28,1795,5,2,,
C00196,6,3,4.47,3,Mobile,Sci-Fi,Europe,On-Time,Premium,Yes,3,34,8461,2,5,,
C00197,24,10,4.03,1,Smart TV,Sci-Fi,Asia,Delayed,Standard,Yes,9,66,9071,4,2,,
C00198,12,1,2.24,3,Smart TV,Sci-Fi,South America,On-Time,Standard,No,1,68,4242,1,4,,
C00199,24,5,2.56,10,Mobile,Drama,Africa,Delayed,Basic,Yes,4,18,6086,1,4,,
C00200,3,5,1.58,9,Tablet,Action,South America,On-Time,Premium,Yes,6,56,2634,0,2,,
C00201,6,9,3.3,7,Desktop,Documentary,North America,Delayed,Standard,No,6,33,7239,2,1,,
C00202,12,2,3.88,9,Tablet,Action,Europe,Delayed,Standard,No,0,35,7363,0,3,,
C00203,6,3,4.79,6,Mobile,Documentary,Africa,On-Time,Premium,Yes,6,59,777,5,2,,
C00204,1,4,3.14,8,Smart TV,Romance,Asia,Delayed,Standard,No,2,33,3898,3,4,,
C00205,24,10,4.22,2,Desktop,Sci-Fi,Europe,On-Time,Premium,No,2,34,5092,4,4,,
C00206,3,3,3.31,5,Desktop,Drama,Africa,Delayed,Basic,No,4,39,6417,0,4,,
C00207,24,6,4,1,Tablet,Action,South America,Delayed,Premium,Yes,5,29,6290,1,4,,
C00208,6,4,3.75,5,Laptop,Action,Asia,Delayed,Standard,Yes,0,65,1879,5,5,,
C00209,24,2,4.94,1,Desktop,Romance,Europe,Delayed,Basic,No,3,60,8275,5,4,,
C00210,3,5,4.01,3,Tablet,Drama,Asia,Delayed,Premium,No,4,20,1690,4,4,,
C00211,6,2,0.92,10,Smart TV,Romance,Asia,Delayed,Standard,Yes,2,19,2715,5,4,,
C00212,12,2,3.17,2,Desktop,Sci-Fi,South America,On-Time,Standard,Yes,1,19,4424,2,1,,
C00213,12,10,4.65,7,Smart TV,Sci-Fi,Africa,Delayed,Standard,No,0,55,8963,5,4,,
C00214,24,2,1.77,9,Desktop,Thriller,Asia,Delayed,Basic,No,9,67,7468,4,4,,
C00215,6,7,4.15,2,Laptop,Thriller,Asia,On-Time,Standard,Yes,8,25,6628,5,1,,
C00216,24,6,4.28,8,Smart TV,Comedy,North America,Delayed,Standard,No,5,58,4426,3,4,,
C00217,1,4,4.63,6,Mobile,Thriller,North America,Delayed,Premium,Yes,7,36,7842,2,4,,
C00218,24,2,2.13,4,Smart TV,Thriller,Asia,On-Time,Basic,No,8,58,857,2,5,,
C00219,24,10,3.25,8,Desktop,Action,Europe,On-Time,Standard,No,1,62,7171,3,5,,
C00220,6,9,1.05,8,Smart TV,Comedy,North America,On-Time,Premium,No,1,47,6465,4,2,,
C00221,24,2,4.13,10,Laptop,Comedy,Europe,On-Time,Basic,Yes,8,28,3319,2,5,,
C00222,3,8,2.56,2,Desktop,Sci-Fi,Africa,On-Time,Premium,No,6,70,7370,2,2,,
C00223,1,3,1.71,8,Laptop,Romance,Africa,Delayed,Basic,No,6,34,3437,0,1,,
C00224,24,10,4.87,3,Desktop,Romance,South America,On-Time,Premium,No,1,64,1137,1,2,,
C00225,1,5,3.46,9,Smart TV,Comedy,Africa,On-Time,Premium,Yes,2,37,6476,2,3,,
C00226,24,10,1.46,8,Laptop,Sci-Fi,North America,Delayed,Premium,No,4,60,2791,4,2,,
C00227,6,5,3.49,8,Smart TV,Drama,Europe,On-Time,Standard,No,3,28,2691,2,4,,
C00228,12,6,4.81,6,Tablet,Documentary,South America,On-Time,Basic,Yes,10,21,7870,2,3,,
C00229,3,7,3.23,6,Smart TV,Thriller,Asia,Delayed,Standard,Yes,10,35,2621,0,3,,
C00230,12,7,1.67,8,Tablet,Romance,North America,Delayed,Premium,No,6,51,632,2,1,,
C00231,3,10,4.18,2,Desktop,Thriller,Asia,On-Time,Standard,Yes,3,59,6134,2,5,,
C00232,6,8,4.04,4,Desktop,Action,South America,On-Time,Basic,Yes,6,61,5999,5,2,,
C00233,24,2,4.43,6,Tablet,Action,Europe,Delayed,Basic,No,7,41,7092,2,1,,
C00234,12,10,0.7,4,Desktop,Thriller,Asia,On-Time,Premium,No,2,30,5791,0,3,,
C00235,1,10,0.62,1,Smart TV,Romance,South America,Delayed,Premium,No,6,46,9994,3,2,,
C00236,3,7,2.59,2,Desktop,Action,North America,Delayed,Standard,Yes,7,57,3655,0,2,,
C00237,1,2,1.62,4,Desktop,Documentary,Asia,Delayed,Basic,Yes,5,47,8462,5,4,,
C00238,3,4,4.1,7,Mobile,Documentary,Africa,On-Time,Basic,No,0,56,4175,3,1,,
C00239,1,3,4.59,5,Laptop,Comedy,South America,On-Time,Basic,Yes,4,25,5627,1,4,,
C00240,12,9,1.65,5,Desktop,Sci-Fi,Europe,Delayed,Standard,No,7,64,2368,5,3,,
C00241,3,1,0.94,8,Laptop,Sci-Fi,Asia,Delayed,Premium,Yes,8,18,7700,2,3,,
C00242,12,6,2.84,6,Mobile,Sci-Fi,North America,Delayed,Standard,Yes,1,47,6375,4,5,,
C00243,3,3,1.91,9,Laptop,Comedy,Europe,On-Time,Premium,Yes,10,32,6779,0,3,,
C00244,6,5,1.15,5,Mobile,Thriller,Africa,On-Time,Basic,No,0,49,5217,4,3,,
C00245,6,10,4.61,5,Tablet,Drama,Asia,On-Time,Basic,No,10,44,1033,1,5,,
C00246,3,10,4.11,2,Mobile,Action,South America,On-Time,Basic,Yes,6,41,4206,4,2,,
C00247,1,5,1.28,10,Tablet,Drama,Africa,On-Time,Standard,Yes,5,55,9442,4,2,,
C00248,24,10,4.92,6,Smart TV,Romance,Europe,Delayed,Standard,Yes,0,28,1177,4,4,,
C00249,3,3,3.4,4,Desktop,Thriller,Africa,Delayed,Standard,Yes,4,40,9548,5,3,,
C00250,1,4,1.36,4,Mobile,Action,Africa,Delayed,Standard,Yes,6,44,9301,4,2,,
C00251,12,1,1.26,1,Desktop,Thriller,Asia,Delayed,Standard,No,10,43,9693,5,4,,
C00252,12,3,0.51,5,Tablet,Comedy,Europe,Delayed,Standard,Yes,8,62,2036,5,5,,
C00253,6,8,2.96,7,Desktop,Drama,North America,Delayed,Premium,No,9,51,7448,4,2,,
C00254,6,2,2.67,9,Laptop,Comedy,South America,On-Time,Standard,No,6,34,6050,1,4,,
C00255,6,10,2.78,3,Desktop,Documentary,South America,On-Time,Basic,Yes,1,29,642,5,2,,
C00256,3,6,4.58,4,Mobile,Documentary,Europe,Delayed,Standard,Yes,1,63,2034,4,5,,
C00257,24,7,4.39,8,Mobile,Comedy,South America,Delayed,Standard,Yes,7,39,6037,3,3,,
C00258,12,3,1.59,6,Smart TV,Romance,South America,Delayed,Standard,No,6,25,6141,1,5,,
C00259,12,3,1.24,4,Mobile,Drama,Africa,On-Time,Standard,No,3,38,4050,3,3,,
